Pergunta,PS,AD,Chega,IL,PCP,Livre,PAN,BE,ADN,RIR,JPP,Nova Direita,PCTP/MRPP,Volt
"Investir em avanços tecnológicos (como fontes de energia limpa, eficiência energética e veículos eléctricos) é a melhor forma de combater as alterações climáticas e proteger o ambiente, e não reduzir o consumo.",0,1,0,2,-1,1,0,0,-1,0,0,0,-1,2
O impacto social das redes sociais é mais positivo do que negativo.,0,-1,2,2,-2,1,1,0,2,0,0,1,-2,1
"Se aproveitada corretamente, os benefícios da inteligência artificial ​​excederão em muito as desvantagens.",0,1,0,2,-2,1,1,0,0,0,1,1,-2,1
Deveríamos apostar em Organismos Geneticamente Modificados (OGM) e explorar outras formas de engenharia genética,0,1,-1,2,0,1,-1,0,-1,0,0,0,-1,2
A Europa deveria apostar mais em energia nuclear,-1,-1,0,0,-1,1,-2,-2,0,-2,0,0,-1,1
"O poder do executivo deve ser limitado pelos demais poderes políticos, mesmo que isso torne o processo político mais lento.",2,2,0,2,1,2,2,2,-1,2,2,1,-1,2
"O progresso social e político sustentável advém do diálogo e do compromisso entre as diferentes partes de uma sociedade, e não de líderes fortes e esclarecidos.",2,2,-1,2,1,2,2,2,-2,2,2,1,0,2
"Numa democracia, é importante que exista um sistema sólido de controlos e equilíbrios entre os agentes institucionais, mesmo que isso torne o sistema político mais complexo, opaco e a responsabilização mais difícil de determinar.",2,2,0,2,1,2,2,1,-2,2,2,2,0,2
"É importante que os funcionários públicos estejam protegidos das pressões políticas, mesmo que isso torne a reforma da administração pública mais difícil.",2,2,1,2,1,2,2,2,-1,2,2,2,2,2
"As instituições políticas do meu país podem ser reformadas e melhoradas, sem necessidade de uma revisão profunda do sistema.",2,2,-1,2,0,1,2,0,-2,2,2,1,-2,2
"A constituição deve proteger certos direitos individuais e de minorias, mesmo se esa não for a vontade da maioria",2,2,-1,2,1,2,2,1,-2,2,2,2,2,2
"O governo nunca deve tentar controlar os meios de comunicação, mesmo que seja para garantir que notícias falsas prejudiciais não se espalhem.",2,2,0,2,1,2,2,1,-1,2,2,2,-1,2
O principal objectivo do sistema prisional deveria ser reabilitar tanto quanto possível e não punir severamente.,2,1,-2,1,0,2,2,2,-2,1,1,0,0,2
"A liberdade de expressão deve ser protegida, mesmo quando causa angústia a minorias oprimidas, a figuras de autoridade ou é dirigida contra símbolos nacionais.",1,1,1,1,1,1,1,1,-1,2,1,1,0,2
"Algumas liberdades nunca deverão ser comprometidas, mesmo temporariamente, e mesmo face a eventos extraordinários (como uma guerra ou uma pandemia)",1,1,2,1,0,1,1,0,0,1,1,1,0,1
"A União Europeia deveria ajudar países democráticos e liberais contra a agressão de países autocráticos, tanto a nível económico como fornecendo apoio militar.",2,2,1,2,-2,2,2,1,-2,2,2,1,-2,2
A melhor maneira de resolver questões diplomáticas complexas como Israel-Palestina é a comunidade internacional capacitar organizações internacionais como as Nações Unidas.,2,2,-1,2,-1,2,2,0,-1,2,2,2,-1,2
Sanções económicas são uma boa forma de condenar actos de política externa dos quais discordamos e de promover os nossos valores.,2,2,0,2,-1,2,2,0,-1,2,2,1,-2,2
Fortalecer as forças armadas é a melhor maneira de dissuadir países inimigos de atacar.,1,2,1,1,-1,2,2,0,2,0,1,1,-2,2
"As alianças militares com países que partilham valores semelhantes, como a NATO, são a melhor forma de garantir uma paz duradoura, mesmo que isso signifique ser arrastado para uma guerra, no pior dos cenários.",2,2,0,2,-2,2,2,-1,0,2,2,1,-2,2
"A adesão à União Europeia foi benéfica e uma maior integração europeia é desejável, mesmo que isso implique uma maior transmissão da soberania nacional",1,1,-1,2,-2,2,1,-1,-2,1,1,0,-2,2
"Estar integrado numa União Europeia mais forte será benéfico para Portugal a longo prazo, mesmo que a curto prazo isso possa acarretar custos em algumas matérias.",2,2,-2,2,-2,2,2,-1,-2,2,0,-1,-2,2
Sem cooperação e integração política internacional é impossível enfrentar problemas como as alterações climáticas e a evasão fiscal por parte de multinacionais e indivíduos ricos.,1,1,-1,1,0,2,2,1,-2,1,0,0,0,2
A emissão de dívida europeia é um passo importante da integração europeia futura,2,1,-1,1,-1,2,1,-1,-2,1,0,0,-2,2
"As nações desenvolvidas têm, dentro do possível, uma obrigação moral de acolher refugiados que fogem do seu país por questões como a guerra ou alterações climáticas.",2,1,-2,1,2,2,2,2,-2,2,2,-1,0,2
